Updated;Total_biweekly_reported;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
2020-03-03;119;119;253,3;40;89,6;0;0
2020-03-10;564;564;1161,2;213;455,3;5;9,9
2020-03-17;2100;2219;4838,1;987;2271,4;87;202,7
2020-03-24;6252;6816;14948,2;3524;8198,3;493;1144,5
2020-03-31;11493;13712;30173,3;6604;14939,3;1446;3439,8
2020-04-07;13978;20794;45502,8;8569;19173,8;2605;5916,4
2020-04-14;14473;28185;61211,2;9653;21281,9;3564;7907,3
2020-04-21;13858;34652;74377,4;10277;22447,6;4407;9602,8
2020-04-28;10341;38526;82153,1;10631;23121,2;5020;10719,4
2020-05-05;6388;41040;86803;10839;23464,7;5392;11392,1
2020-05-12;4175;42701;89559,6;10982;23681,7;5655;11809,9
2020-05-19;2930;43970;91750;11063;23807,6;5801;12028,3
2020-05-26;2476;45177;93918,1;11116;23883,6;5914;12165,2
2020-06-02;2292;46262;95821,7;11169;23969,8;5992;12275
2020-06-09;2315;47492;97762,1;11195;23997,5;6033;12326,7
2020-06-16;2375;48637;99499,9;11215;24037,5;6069;12383,6
2020-06-23;1716;49208;100298,7;11229;24047,9;6081;12400,8
2020-06-30;1133;49770;101205,2;11241;24068,4;6099;12436,4
2020-07-07;934;50142;101741,1;11244;24068,5;6104;12452,1
2020-07-14;883;50653;102374;11250;24076,8;6111;12470,4
2020-07-21;1437;51579;103566,3;11260;24089,3;6112;12474,3
2020-07-28;2183;52836;105182,5;11277;24104;6123;12483,8
2020-08-04;3690;55269;107711,4;11306;24128,4;6122;12480,9
2020-08-11;6298;59134;111910,1;11331;24156,5;6130;12490,2
2020-08-18;7384;62653;116080,5;11366;24178,6;6142;12490,9
2020-08-25;6802;65936;120321,9;11403;24219,7;6169;12534,7
2020-09-01;6547;69200;124670,9;11418;24214,9;6174;12540,5
2020-09-08;8352;74288;130664,3;11451;24261,9;6193;12559,4
2020-09-15;12754;81954;140891,5;11513;24288,9;6190;12555
2020-09-22;20201;94489;157477,9;11626;24457,6;6228;12603,8
2020-09-29;30272;112226;185700,8;11797;24642,6;6282;12696,6
2020-10-06;42369;136858;225904,8;12001;24963,5;6348;12815
2020-10-13;65500;177726;300066,6;12296;25339,1;6472;13004,2
2020-10-20;90018;226876;387888,2;12602;26123,5;6580;13274,1
2020-10-27;109793;287519;501464,2;13073;26703,5;6866;13800,7
