Municipality_name;Municipality_code;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
Aa en Hunze;GM1680;0;0;0;0;0;0
Aalsmeer;GM0358;6;18,8;0;0;0;0
Aalten;GM0197;0;0;0;0;0;0
Achtkarspelen;GM0059;2;7,2;0;0;0;0
Alblasserdam;GM0482;3;14,9;0;0;0;0
Albrandswaard;GM0613;10;39,1;0;0;0;0
Alkmaar;GM0361;14;12,8;0;0;0;0
Almelo;GM0141;3;4,1;0;0;0;0
Almere;GM0034;46;21,7;3;1,4;1;0,5
Alphen aan den Rijn;GM0484;10;8,9;0;0;0;0
Alphen-Chaam;GM1723;8;78,4;0;0;0;0
Altena;GM1959;12;21,4;0;0;0;0
Ameland;GM0060;0;0;0;0;0;0
Amersfoort;GM0307;18;11,4;1;0,6;0;0
Amstelveen;GM0362;34;37,1;0;0;0;0
Amsterdam;GM0363;563;64,5;10;1,1;0;0
Apeldoorn;GM0200;13;7,9;1;0,6;0;0
Appingedam;GM0003;0;0;0;0;0;0
Arnhem;GM0202;16;9,9;0;0;0;0
Assen;GM0106;0;0;0;0;0;0
Asten;GM0743;2;12;0;0;0;0
Baarle-Nassau;GM0744;2;29,2;0;0;0;0
Baarn;GM0308;3;12,1;0;0;0;0
Barendrecht;GM0489;13;26,7;0;0;0;0
Barneveld;GM0203;1;1,7;0;0;0;0
Beek (L.);GM0888;0;0;0;0;0;0
Beekdaelen;GM1954;0;0;0;0;0;0
Beemster;GM0370;3;29,9;0;0;0;0
Beesel;GM0889;0;0;0;0;0;0
Berg en Dal;GM1945;1;2,9;0;0;0;0
Bergeijk;GM1724;0;0;0;0;0;0
Bergen (L.);GM0893;0;0;0;0;0;0
Bergen (NH.);GM0373;9;30,2;0;0;0;0
Bergen op Zoom;GM0748;41;60,7;1;1,5;0;0
Berkelland;GM1859;2;4,6;0;0;0;0
Bernheze;GM1721;1;3,2;0;0;0;0
Best;GM0753;5;16,7;0;0;0;0
Beuningen;GM0209;1;3,9;0;0;0;0
Beverwijk;GM0375;2;4,8;0;0;0;0
Bladel;GM1728;1;4,9;0;0;0;0
Blaricum;GM0376;6;52;0;0;0;0
Bloemendaal;GM0377;4;17;0;0;0;0
Bodegraven-Reeuwijk;GM1901;3;8,6;0;0;0;0
Boekel;GM0755;0;0;0;0;0;0
Borger-Odoorn;GM1681;0;0;0;0;0;0
Borne;GM0147;0;0;0;0;0;0
Borsele;GM0654;1;4,4;0;0;0;0
Boxmeer;GM0756;1;3,4;0;0;0;0
Boxtel;GM0757;0;0;0;0;0;0
Breda;GM0758;112;60,8;0;0;1;0,5
Brielle;GM0501;2;11,6;0;0;0;0
Bronckhorst;GM1876;1;2,8;0;0;0;0
Brummen;GM0213;4;19,3;0;0;0;0
Brunssum;GM0899;2;7,2;0;0;0;0
Bunnik;GM0312;1;6,6;0;0;0;0
Bunschoten;GM0313;3;13,7;0;0;0;0
Buren;GM0214;0;0;0;0;0;0
Capelle aan den IJssel;GM0502;38;56,6;0;0;0;0
Castricum;GM0383;4;11,1;0;0;0;0
Coevorden;GM0109;0;0;0;0;0;0
Cranendonck;GM1706;0;0;0;0;0;0
Cuijk;GM1684;0;0;0;0;0;0
Culemborg;GM0216;2;6,9;0;0;0;0
Dalfsen;GM0148;1;3,5;0;0;0;0
Dantumadiel;GM1891;0;0;0;0;0;0
De Bilt;GM0310;5;11,6;0;0;0;0
De Fryske Marren;GM1940;4;7,8;0;0;0;0
De Ronde Venen;GM0736;4;9;0;0;0;0
De Wolden;GM1690;0;0;0;0;0;0
Delft;GM0503;24;23,2;0;0;0;0
Delfzijl;GM0010;0;0;0;0;0;0
Den Helder;GM0400;3;5,3;0;0;0;0
Deurne;GM0762;3;9,2;0;0;0;0
Deventer;GM0150;5;5;0;0;0;0
Diemen;GM0384;11;35,7;0;0;0;0
Dinkelland;GM1774;1;3,8;0;0;0;0
Doesburg;GM0221;0;0;0;0;0;0
Doetinchem;GM0222;1;1,7;0;0;0;0
Dongen;GM0766;1;3,8;0;0;0;0
Dordrecht;GM0505;27;22,6;1;0,8;0;0
Drechterland;GM0498;0;0;0;0;0;0
Drimmelen;GM1719;2;7,3;0;0;0;0
Dronten;GM0303;0;0;0;0;0;0
Druten;GM0225;0;0;0;0;0;0
Duiven;GM0226;2;8;0;0;0;0
Echt-Susteren;GM1711;0;0;0;0;0;0
Edam-Volendam;GM0385;0;0;0;0;0;0
Ede;GM0228;19;16,2;0;0;0;0
Eemnes;GM0317;1;10,8;0;0;0;0
Eersel;GM0770;0;0;0;0;0;0
Eijsden-Margraten;GM1903;4;15,5;0;0;0;0
Eindhoven;GM0772;38;16,2;1;0,4;0;0
Elburg;GM0230;0;0;0;0;0;0
Emmen;GM0114;2;1,9;0;0;0;0
Enkhuizen;GM0388;0;0;0;0;0;0
Enschede;GM0153;7;4,4;1;0,6;0;0
Epe;GM0232;0;0;0;0;0;0
Ermelo;GM0233;1;3,7;0;0;0;0
Etten-Leur;GM0777;10;22,8;1;2,3;0;0
Geertruidenberg;GM0779;6;27,8;0;0;0;0
Geldrop-Mierlo;GM1771;2;5;0;0;0;0
Gemert-Bakel;GM1652;3;9,8;0;0;0;0
Gennep;GM0907;0;0;0;0;0;0
Gilze en Rijen;GM0784;4;15,1;0;0;0;0
Goeree-Overflakkee;GM1924;3;6;0;0;0;0
Goes;GM0664;14;36,8;1;2,6;0;0
Goirle;GM0785;5;20,9;0;0;0;0
Gooise Meren;GM1942;6;10,3;0;0;0;0
Gorinchem;GM0512;27;72,9;0;0;0;0
Gouda;GM0513;51;69,5;2;2,7;0;0
Grave;GM0786;0;0;0;0;0;0
Groningen (gemeente);GM0014;24;10,3;0;0;0;0
Gulpen-Wittem;GM1729;1;7,1;0;0;0;0
Haaksbergen;GM0158;0;0;0;0;0;0
Haaren;GM0788;0;0;0;0;0;0
Haarlem;GM0392;31;19;0;0;1;0,6
Haarlemmermeer;GM0394;47;30,1;0;0;0;0
Halderberge;GM1655;7;23,1;0;0;0;0
Hardenberg;GM0160;1;1,6;0;0;0;0
Harderwijk;GM0243;1;2,1;0;0;0;0
Hardinxveld-Giessendam;GM0523;3;16,4;0;0;0;0
Harlingen;GM0072;0;0;0;0;0;0
Hattem;GM0244;0;0;0;0;0;0
Heemskerk;GM0396;0;0;0;0;0;0
Heemstede;GM0397;1;3,7;0;0;0;0
Heerde;GM0246;0;0;0;0;0;0
Heerenveen;GM0074;0;0;0;0;0;0
Heerhugowaard;GM0398;8;13,9;0;0;0;0
Heerlen;GM0917;4;4,6;0;0;0;0
Heeze-Leende;GM1658;1;6,2;0;0;0;0
