Updated;Country;Total_reported_per two_weeks;Total_reported;Total_reported_per_100000;Hospital_admission;Hospital_admission_per_100000;Deceased;Deceased_per_100000
3-3-2020;Netherlands;119;119;253,3;40;89,6;0;0
17-3-2020;Netherlands;2100;2219;4838,1;987;2271,4;87;202,7
31-3-2020;Netherlands;11493;13712;30173,3;6604;14939,3;1446;3439,8
14-4-2020;Netherlands;14473;28185;61211,2;9653;21281,9;3564;7907,3
28-4-2020;Netherlands;10341;38526;82153,1;10631;23121,2;5020;10719,4
12-5-2020;Netherlands;4175;42701;89559,6;10982;23681,7;5655;11809,9
26-5-2020;Netherlands;2476;45177;93918,1;11116;23883,6;5914;12165,2
9-6-2020;Netherlands;2315;47492;97762,1;11195;23997,5;6033;12326,7
23-6-2020;Netherlands;-47492;;;;;;
7-7-2020;Netherlands;0;;;;;;
21-7-2020;Netherlands;0;;;;;;
4-8-2020;Netherlands;0;;;;;;
18-8-2020;Netherlands;0;;;;;;
1-9-2020;Netherlands;0;;;;;;
15-9-2020;Netherlands;0;;;;;;
